date,open,close,high,low,volume
2020-01-01,7232.957449042591,7232.977272508257,7285.1,7185.4,2130.851265370006
2020-01-02,7123.080021384106,7122.901910019333,7225.8,6963,4883.302354010011
2020-01-03,7245.4122815875435,7245.6413316792095,7444.9,6909.3,6649.445852960011
2020-01-04,7356.932443431454,7356.917323244945,7422,7297.3,4326.26734924
2020-01-05,7449.656278339092,7449.579023123579,7509.9,7315.8,4359.930058120011
2020-01-06,7529.3384736160115,7529.518707955329,7776.9,7336.4,7664.397664420008
2020-01-07,7911.397985109749,7911.604742303598,8185,7708.4,12889.878794639995
2020-01-08,8233.945740756479,8233.979938957084,8442,7877.6,11828.812770480014
2020-01-09,7910.845497956311,7910.657730226493,8101,7756,4966.753515140002
2020-01-10,7874.7499341883295,7874.8494276775455,8135.1,7675.8,7295.849335610005
2020-01-11,8106.057765279238,8106.086253938057,8282.4,7991.8,4503.58333614
2020-01-12,8097.703337214362,8097.734941316812,8171.5,7951.7,3269.005405940006
2020-01-13,8103.396421642293,8103.354169343533,8199.7,8053.6,2655.68456414
2020-01-14,8526.643688867389,8527.060001939126,8779,8093.877445,15654.06264980999
2020-01-15,8725.646761611428,8725.764059501813,8873,8560.1,9539.082124169983
2020-01-16,8674.910266069963,8674.792837622539,8850,8579.8,5389.521328459999
2020-01-17,8837.000026022808,8837.101092038412,9000,8674.2,9734.544342049996
2020-01-18,8882.3809869963,8882.348279456724,8965,8791.12468089,3291.189419390001
2020-01-19,8848.464311553114,8848.209696527056,9169.5,8450,12511.927940899986
2020-01-20,8651.707837988653,8651.65225824152,8741.1,8519.6,4138.263861100005
2020-01-21,8651.06970271422,8651.07255014745,8787.17417425,8500,3312.016145220002
2020-01-22,8678.317652442103,8678.243049409295,8799.9,8580.5,2234.160434210001
2020-01-23,8461.138594202905,8460.95326643189,8670.4,8296,5701.184696980007
2020-01-24,8398.319239229939,8398.32847297402,8523,8246,3597.653790930002
2020-01-25,8345.623384144563,8345.589522754804,8471.3,8280,2102.5576184800075
2020-01-26,8451.214968353686,8451.33941363315,8631.6,8301,3483.1452439300037
2020-01-27,8732.338778366166,8732.525022077503,9001.86207428,8576.5,6258.377016420014
2020-01-28,9045.847968485508,9045.970223060072,9198.5,8892.6,7234.916845339998
2020-01-29,9344.059708288112,9344.170132413927,9442.3,9123.6,6455.7106647499995
2020-01-30,9380.287098127777,9380.305591919832,9550,9122.8,8882.963264969998
2020-01-31,9371.95606722265,9371.800749657166,9550,9220.3,4957.413229369991
2020-02-01,9404.724144392554,9404.714434949066,9476.4,9318,2662.2962335099987
2020-02-02,9410.989691607316,9410.945392299898,9501.3,9165,6160.517058780009
2020-02-03,9358.473349719532,9358.3571160507,9628.6,9247,7024.925207710003
2020-02-04,9232.959317764271,9232.911499732465,9359.8,9112.5,4088.1915679200015
2020-02-05,9405.776497241945,9406.092296303543,9731.9,9180.19498847,10529.302392109992
2020-02-06,9693.27047875152,9693.230882602948,9860,9547,8615.671763250004
2020-02-07,9765.278911613612,9765.354591520414,9860,9657,3841.72964143
2020-02-08,9797.725123916114,9797.786168728197,9920.8,9657.8,5542.614770960001
2020-02-09,10051.516909553913,10051.610768667231,10165,9871.1,9290.042466460007
2020-02-10,9921.83292164892,9921.662998725398,10187,9701,8786.42928496999
2020-02-11,9944.581763816428,9945.023064378578,10316,9720,8358.70709409
2020-02-12,10320.799222421785,10320.978767968294,10460,10200,8697.670593859999
2020-02-13,10276.81334663505,10276.784321168141,10491,10058,9153.068062100008
2020-02-14,10242.100077432178,10242.161697172354,10373,10101,4142.629846290002
2020-02-15,10148.069413792626,10147.7698441969,10373,9800,6215.446084210011
2020-02-16,9904.758654317231,9904.801408596844,10037,9651.3,6698.63527976
2020-02-17,9742.920279830058,9742.663853942035,9999.4,9501.5,9439.59619968998
2020-02-18,9826.256612585295,9826.489109708784,10275,9625.8,8266.330315189993
2020-02-19,10119.85812415223,10119.53473415186,10310,9290,13904.315133689997
2020-02-20,9584.586016254745,9584.520600667423,9699.9,9359.7,6773.122746829996
2020-02-21,9680.727162167876,9680.599375203252,9760.3,9566.8,3975.2246248600027
2020-02-22,9653.604512260288,9653.510012147557,9720,9565.1,9011.355046209994
2020-02-23,9857.053565478358,9857.202593511676,10001,9660,6837.10378967
2020-02-24,9755.205555973816,9754.980727820011,10022,9441.2,7023.761081099996
2020-02-25,9512.837389704639,9512.559206767733,9691.9,9251.4,8464.141493740004
2020-02-26,9080.409121219293,9079.947760044503,9401.1,8652.7,14467.317469650014
2020-02-27,8814.954154798546,8814.906440047562,8975,8555,8526.061177839998
2020-02-28,8716.131340757216,8716.078648224251,8908.3,8455.09929552,6856.310517429992
2020-02-29,8714.304893182749,8714.160966094505,8830,8615,2453.213407780003
2020-03-01,8591.386636583415,8591.279995968564,8775,8460,5652.544441150005
2020-03-02,8761.164454626396,8761.294860322332,8990.8,8524.62816151,5190.610534389997
2020-03-03,8823.735333315979,8823.648920933701,8946,8686.2,5458.918363399995
2020-03-04,8793.344375656421,8793.23938557915,8877.7,8718.4,4235.493985649995
2020-03-05,9033.187980021783,9033.39437082906,9186.5,8777.2,5568.61996575001
2020-03-06,9119.307489872603,9119.296868741676,9199.7,9011.3,3227.3600420500024
2020-03-07,9088.042040609174,9087.873768583153,9241.5,8867.4,4403.564426049999
2020-03-08,8630.26960660928,8629.733743767812,8953.1,8213.8,21704.710956239993
2020-03-09,7933.298551295998,7933.065083432549,8287.21364132,7700,26126.44683344004
2020-03-10,7975.0547031292,7975.123566613961,8180,7776.6,10237.04246887002
2020-03-11,7875.129911090205,7875.11753221969,8034.6,7634.8,11014.62231834999
2020-03-12,6817.994731448605,6816.493968912772,8016,5593,93106.37643680004
2020-03-13,5291.006601068112,5290.775981673647,5973.3,4000,125106.04217213008
2020-03-14,5435.055785177702,5434.855683888767,5733.2,5207.6,17107.540607839986
2020-03-15,5332.035450371522,5332.083120754584,5987,5095,25205.795683830005
2020-03-16,5029.932938682975,5029.435008808557,5475.0911958000015,4467.9009243,41887.25785703005
2020-03-17,5311.368806313506,5311.698816698753,5572.8,4956.1,19891.32154578003
2020-03-18,5294.597381678164,5294.4749427739225,5487.96366832,5033,21144.21895034999
2020-03-19,5718.050849478338,5718.679139905644,6416.7,5264.6,30860.824941870018
2020-03-20,6359.658485329753,6359.532400288511,6929.8,5665.0246058,31081.992027060016
2020-03-21,6174.435921538276,6174.466250936666,6474.7,5882.4,13305.807181000033
2020-03-22,6154.597238536992,6154.398006283239,6410.9,5775.1,15635.540426350002
2020-03-23,6080.623985821578,6080.886200631913,6664.3,5677,19909.943259820036
2020-03-24,6631.241871703737,6631.396748678686,6840,6406,16970.12094398999
2020-03-25,6656.386295707918,6656.321154741103,6968,6430.2,13801.125393109978
2020-03-26,6663.143812324515,6663.110523594382,6790.8,6516,6638.9731506499975
